시점,행정구역(시),행정구역(시군구)별,총인구수,남자인구수,여자인구수,영아기,아동기,청소년기,청년기,중년기,노년기
2023,강원도,양구군,21185.5,11122.0,10063.5,683.0,820.0,1861.5,4866.5,5635.5,9472.5
2023,강원도,양양군,27705.5,14163.0,13542.5,452.0,667.0,1723.5,4245.5,8206.0,16074.0
2023,강원도,영월군,37354.0,19324.0,18030.0,582.5,860.5,2623.5,5287.5,10893.0,21939.5
2023,강원도,원주시,359758.5,178161.0,181597.5,11196.0,14818.0,34903.5,88296.5,117569.0,116305.5
2023,강원도,인제군,32048.0,17443.5,14604.5,1133.0,1204.5,2301.0,7870.5,8824.5,13551.0
2023,강원도,정선군,34446.5,17976.0,16470.5,578.5,798.5,2285.0,4782.0,10650.0,19401.0
2023,강원도,철원군,41757.0,21616.5,20140.5,1335.0,1469.5,3344.0,8985.0,11643.0,19178.5
2023,강원도,춘천시,285445.0,140854.5,144590.5,8236.0,11234.0,26179.5,71318.5,87498.5,103748.5
2023,강원도,태백시,38938.0,19608.0,19330.0,714.0,1201.0,3470.5,6029.0,12448.0,18676.5
2023,강원도,평창군,40692.0,21044.0,19648.0,570.5,922.0,2660.5,5755.5,12227.0,23369.5
2023,강원도,홍천군,67445.5,34687.0,32758.5,1403.5,1882.5,4644.5,11492.5,18997.5,37178.5
2023,강원도,화천군,23138.0,12411.0,10727.0,681.5,834.5,1636.5,5626.0,6026.5,10977.0
2023,강원도,횡성군,46283.0,23765.5,22517.5,808.5,1124.0,3389.0,6346.5,12852.5,27893.0
2023,충청북도,충청북도,1589702.0,807811.0,781891.0,42975.5,63368.5,145060.5,371604.0,501372.5,588532.0
2023,충청북도,괴산군,36735.0,18930.5,17804.5,436.5,728.5,1814.0,4343.0,10061.5,25383.5
2023,충청북도,단양군,27672.0,14066.5,13605.5,371.5,579.0,1735.5,3533.0,7869.5,17344.5
2023,충청북도,보은군,31158.0,15733.5,15424.5,429.0,738.5,1908.5,3900.0,8227.0,21713.5
2023,충청북도,상당구,197999.5,98325.0,99674.5,6186.0,9092.0,19925.0,47927.5,64599.5,62578.0
2023,충청북도,서원구,188167.0,93717.5,94449.5,4442.0,6711.0,18466.0,48333.5,61029.5,60562.5
2023,충청북도,영동군,44459.0,22249.0,22210.0,674.0,1040.5,2990.5,6090.0,12351.5,28329.0
2023,충청북도,옥천군,49104.0,24789.0,24315.0,728.5,1311.0,3638.0,7116.0,14197.5,29225.0
2023,충청북도,음성군,91229.5,48396.5,42833.0,1828.5,2948.5,7192.5,17299.5,29925.0,40769.0
2023,충청북도,제천시,130243.5,65445.5,64798.0,2866.5,4408.5,11284.5,25774.0,39600.0,58119.0
2023,충청북도,증평군,37259.0,19388.0,17871.0,1089.5,1614.0,3390.5,8851.0,11689.0,13396.0
2023,충청북도,진천군,85974.5,45430.5,40544.0,2776.5,4000.5,8439.0,19855.5,28373.0,29079.0
2023,충청북도,청원구,191824.0,98719.5,93104.5,6559.5,9944.0,19763.5,53274.0,60748.0,51917.5
2023,충청북도,청주시,848450.0,428288.0,420162.0,26718.5,38489.0,84654.0,230440.5,273501.5,239902.0
2023,충청북도,충주시,207417.5,105094.0,102323.5,5056.5,7510.5,18013.5,44401.5,65577.0,85271.5
2023,충청북도,흥덕구,270459.5,137526.0,132933.5,9531.0,12742.0,26499.5,80905.5,87124.5,64844.0
2023,충청남도,충청남도,2119950.5,1084955.5,1034995.0,59200.5,88889.5,202028.0,479251.5,667949.5,811397.5
2023,충청남도,계룡시,45452.0,22670.5,22781.5,1333.0,2381.5,6276.0,9951.5,16159.5,11467.5
2023,충청남도,공주시,102020.5,50890.5,51130.0,1845.5,2792.5,7920.5,19281.0,29279.5,54188.0
2023,충청남도,금산군,49945.0,25242.5,24702.5,754.5,1225.0,4055.0,6584.0,14293.0,30768.5
2023,충청남도,논산시,111226.0,55530.0,55696.0,2248.5,3626.0,9010.0,19470.5,32365.5,59446.0
2023,충청남도,당진시,168800.0,89996.5,78803.5,5294.5,8019.5,16314.0,35646.5,55213.5,63413.0
2023,충청남도,동남구,255159.5,129228.5,125931.0,6619.0,10182.5,25469.5,64377.0,84896.0,78707.0
2023,충청남도,보령시,96232.0,48726.0,47506.0,1984.5,3019.0,7716.0,16493.5,28955.5,49829.5
2023,충청남도,부여군,61562.5,30613.5,30949.0,779.5,1502.5,4170.0,8203.5,16025.0,42624.0
2023,충청남도,서북구,399121.0,205575.0,193546.0,14614.5,20616.5,42216.5,124086.5,132410.0,78850.5
2023,충청남도,서산시,175773.5,91797.5,83976.0,5403.0,7859.0,17080.0,38514.5,56456.0,66394.0
2023,충청남도,서천군,49397.5,24394.0,25003.5,752.0,1139.5,3122.5,6238.0,12884.0,35117.5
2023,충청남도,아산시,339077.5,176591.0,162486.5,12334.0,18511.5,37814.5,87304.0,112951.5,88536.5
2023,충청남도,예산군,77627.5,38936.0,38691.5,1348.5,1942.0,5460.5,12101.0,21826.0,47281.5
2023,충청남도,천안시,654280.5,334803.5,319477.0,21233.5,30799.0,67686.0,188463.5,217306.0,157557.5
2023,충청남도,청양군,30139.5,15384.5,14755.0,414.0,607.0,1942.0,4300.0,7640.5,21307.5
2023,충청남도,태안군,60856.5,30765.5,30091.0,934.5,1516.5,4088.5,8552.5,17461.0,37115.0
2023,충청남도,홍성군,97560.0,48614.0,48946.0,2541.0,3949.0,9372.5,18147.5,29133.0,46351.5
2023,전라북도,전라북도,1757041.0,874075.5,882965.5,40571.5,65841.5,165806.5,368250.5,546179.5,745185.0
2023,전라북도,고창군,51893.5,25821.5,26072.0,845.0,1301.5,3859.5,6928.0,13913.5,35042.0
2023,전라북도,군산시,260348.5,131817.5,128531.0,6340.0,10837.0,25706.0,53808.5,85672.5,97581.0
2023,전라북도,김제시,81247.0,40438.5,40808.5,1532.0,2114.5,5890.0,13167.0,22510.0,49928.5
2023,전라북도,남원시,77200.0,37860.5,39339.5,1592.0,2413.5,6702.0,12220.0,22773.0,43251.0
2023,전라북도,덕진구,316499.0,157130.5,159368.5,9612.0,15627.5,35405.5,81411.0,102757.5,89167.0
2023,전라북도,무주군,23334.0,11657.5,11676.5,328.5,574.0,1726.0,3034.5,6556.5,15487.0
2023,전라북도,부안군,49431.5,24586.0,24845.5,784.5,1233.5,3371.0,6956.5,13687.0,31864.0
2023,전라북도,순창군,26695.0,13120.5,13574.5,477.5,645.0,2091.0,3568.5,7343.0,17658.0
